"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"28-Dec-2023","GB","6,248.00","6,340.00","6,200.00","6,203.69","6,340.00","6,340.00","6,282.00","6,340.00","5,200.00","4","25,128.00","3"
"27-Dec-2023","GB","6,185.00","6,248.00","6,168.01","6,168.00","6,200.00","6,203.69","6,194.72","6,250.00","5,200.00","18","1,11,505.04","5"
"26-Dec-2023","GB","6,168.00","6,168.00","6,168.00","6,230.00","6,168.00","6,168.00","6,168.00","6,250.00","5,200.00","1","6,168.00","1"
"22-Dec-2023","GB","6,125.00","6,230.00","6,120.00","6,120.00","6,230.00","6,230.00","6,122.94","6,250.00","5,200.00","51","3,12,270.00","6"
"21-Dec-2023","GB","6,199.00","6,199.50","6,120.00","6,159.00","6,120.00","6,120.00","6,196.75","6,250.00","5,200.00","126","7,80,791.10","13"
"18-Dec-2023","GB","6,199.00","6,199.00","6,102.01","6,150.00","6,159.00","6,159.00","6,132.25","6,250.00","5,200.00","32","1,96,232.15","8"
"15-Dec-2023","GB","6,150.00","6,150.00","6,150.00","6,149.00","6,150.00","6,150.00","6,150.00","6,250.00","5,200.00","50","3,07,500.00","2"
"12-Dec-2023","GB","6,149.00","6,149.00","6,149.00","6,200.00","6,149.00","6,149.00","6,149.00","6,250.00","5,200.00","14","86,086.00","5"
"07-Dec-2023","GB","6,244.00","6,244.00","6,200.00","6,150.00","6,200.00","6,200.00","6,222.00","6,250.00","5,179.90","2","12,444.00","2"
"05-Dec-2023","GB","6,150.00","6,150.00","6,150.00","6,250.00","6,150.00","6,150.00","6,150.00","6,250.00","5,179.90","14","86,100.00","1"
"04-Dec-2023","GB","6,250.00","6,250.00","6,250.00","6,102.20","6,250.00","6,250.00","6,250.00","6,250.00","5,179.90","5","31,250.00","5"
"01-Dec-2023","GB","6,111.00","6,111.00","6,100.01","6,031.00","6,100.01","6,102.20","6,102.21","6,111.00","5,013.03","10","61,022.08","2"
"30-Nov-2023","GB","6,031.00","6,031.00","6,031.00","6,031.00","6,031.00","6,031.00","6,031.00","6,100.01","5,013.03","74","4,46,294.00","4"
