Date,Series,Open,High,Low,Prev_Close,Ltp,Close,Vwap,52W_H,52W_L,Volume,Value,No_Of_Trades,Day,Month,Year,Percent_Change_In_Price,Momentum_Indicator,High_Low_Change,High_Open_Change,Low_Open_Change
2019-12-30,GB,3700.0,3700.0,3700.0,3599.5,3700.0,3700.0,3700.0,3840.0,2725.0,6,22200.0,1,30,12,2019,,0.0,0.0,0.0,0.0
2019-12-23,GB,3750.0,3750.0,3599.0,3589.0,3599.0,3599.5,3616.33,3840.0,2655.29,45,162735.0,5,23,12,2019,-0.027162162162162162,-0.04013333333333333,0.041956098916365654,0.0,-0.040266666666666666
2019-12-17,GB,3590.0,3590.0,3589.0,3580.05,3589.0,3589.0,3589.4,3840.0,2655.29,25,89735.0,3,17,12,2019,-0.0029170718155299147,-0.0002785515320334262,0.00027862914460852607,0.0,-0.0002785515320334262
2019-12-16,GB,3580.05,3580.05,3580.05,3580.0,3580.05,3580.05,3580.05,3840.0,2655.29,1,3580.05,1,16,12,2019,-0.0024937308442463113,0.0,0.0,0.0,0.0
2019-12-12,GB,3562.0,3580.0,3562.0,3585.0,3580.0,3580.0,3565.0,3840.0,2655.29,6,21390.0,2,12,12,2019,-1.3966285387079225e-05,0.0050533408197641775,0.0050533408197641775,0.0050533408197641775,0.0
2019-12-09,GB,3585.0,3585.0,3582.0,3525.0,3585.0,3585.0,3583.0,3840.0,2655.29,60,214980.0,3,9,12,2019,0.0013966480446927498,0.0,0.0008375209380234506,0.0,-0.0008368200836820083
2019-12-04,GB,3525.0,3525.0,3525.0,3630.0,3525.0,3525.0,3525.0,3840.0,2655.29,2,7050.0,1,4,12,2019,-0.01673640167364021,0.0,0.0,0.0,0.0
2019-11-21,GB,3630.0,3630.0,3630.0,3639.99,3630.0,3630.0,3630.0,3840.0,2626.0,6,21780.0,1,21,11,2019,0.029787234042553123,0.0,0.0,0.0,0.0
2019-11-15,GB,3649.99,3649.99,3639.99,3840.0,3639.99,3639.99,3644.99,3840.0,2515.04,4,14579.96,3,15,11,2019,0.002752066115702334,-0.0027397335335165303,0.0027472602946711396,0.0,-0.0027397335335165303
2019-10-27,GB,3750.0,3840.0,3750.0,3750.0,3840.0,3840.0,3795.0,3840.0,2515.04,8,30360.0,2,27,10,2019,0.05494795315371759,0.024,0.024,0.024,0.0
